|| 2022:04:18-15:27:30 || message log level: MAX || global log level: STANDARD ||Starting Cron... ||
|| 2022:05:02-10:34:43 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:34:43 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: list ||
|| 2022:05:02-10:34:43 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: list ||
|| 2022:05:02-10:34:49 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:34:49 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:05:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:34:49 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:05:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:34:51 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:34:51 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: list ||
|| 2022:05:02-10:34:51 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: list ||
|| 2022:05:02-10:34:57 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:34:57 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: rm 3 ||
|| 2022:05:02-10:34:57 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: rm 3 ||
|| 2022:05:02-10:34:59 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:34:59 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: list ||
|| 2022:05:02-10:34:59 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: list ||
|| 2022:05:02-10:35:04 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:35:04 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: exit ||
|| 2022:05:02-10:35:04 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: exit ||
|| 2022:05:02-10:35:42 || message log level: MAX || global log level: STANDARD ||Starting Cron... ||
|| 2022:05:02-10:35:55 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:35:55 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:01:00 -c 00:02:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:35:55 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:01:00 -c 00:02:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:36:00 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:36:00 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:05:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:36:00 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:05:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:36:07 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:36:07 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:01:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:36:07 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:01:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:36:14 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:36:14 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: list ||
|| 2022:05:02-10:36:14 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: list ||
|| 2022:05:02-10:36:20 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:36:20 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: rm 3 ||
|| 2022:05:02-10:36:20 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: rm 3 ||
|| 2022:05:02-10:36:23 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:36:23 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: list ||
|| 2022:05:02-10:36:23 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: list ||
|| 2022:05:02-10:36:30 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:36:30 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: exit ||
|| 2022:05:02-10:47:51 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: exit ||
|| 2022:05:02-10:47:56 || message log level: MAX || global log level: STANDARD ||Starting Cron... ||
|| 2022:05:02-10:48:02 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:48:02 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:01:00 -c 00:02:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:48:02 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:01:00 -c 00:02:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:48:05 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:48:05 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:01:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:48:05 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:01:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:48:09 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:48:09 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:05:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:48:09 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:05:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:48:12 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:48:12 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: list ||
|| 2022:05:02-10:48:12 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: list ||
|| 2022:05:02-10:48:19 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:48:19 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: rm 3 ||
|| 2022:05:02-10:48:19 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: rm 3 ||
|| 2022:05:02-10:48:22 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:48:22 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: list ||
|| 2022:05:02-10:48:22 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: list ||
|| 2022:05:02-10:48:26 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:48:26 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: exit ||
|| 2022:05:02-10:48:26 || message log level: MAX || global log level: STANDARD ||Terminating Cron... ||
|| 2022:05:02-10:48:26 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: exit ||
|| 2022:05:02-10:48:37 || message log level: MAX || global log level: STANDARD ||Starting Cron... ||
|| 2022:05:02-10:48:49 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:48:49 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:01:00 -c 00:02:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:48:49 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:01:00 -c 00:02:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:48:52 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:48:52 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:05:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:48:52 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:05:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:48:56 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:48:56 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:01:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:48:56 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:01:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:49:01 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:49:01 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: list ||
|| 2022:05:02-10:49:01 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: list ||
|| 2022:05:02-10:49:06 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:49:06 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: rm 3 ||
|| 2022:05:02-10:49:06 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: rm 3 ||
|| 2022:05:02-10:49:09 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:49:09 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: list ||
|| 2022:05:02-10:49:09 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: list ||
|| 2022:05:02-10:49:34 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:49:34 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: exit ||
|| 2022:05:02-10:49:49 || message log level: MAX || global log level: STANDARD ||Terminating Cron... ||
|| 2022:05:02-10:49:49 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: exit ||
|| 2022:05:02-10:52:19 || message log level: MAX || global log level: STANDARD ||Starting Cron... ||
|| 2022:05:02-10:52:30 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:52:30 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:05:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:52:30 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:05:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:52:34 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:52:34 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:01:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:52:34 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:01:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:52:39 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:52:39 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:01:00 -c 00:02:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:52:39 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:01:00 -c 00:02:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:52:42 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:52:42 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: list ||
|| 2022:05:02-10:52:42 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: list ||
|| 2022:05:02-10:52:46 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:52:46 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: rm 1 ||
|| 2022:05:02-10:52:46 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: rm 1 ||
|| 2022:05:02-10:52:48 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:52:48 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: list ||
|| 2022:05:02-10:52:48 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: list ||
|| 2022:05:02-10:53:13 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:53:13 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: exit ||
|| 2022:05:02-10:53:58 || message log level: MAX || global log level: STANDARD ||Terminating Cron... ||
|| 2022:05:02-10:53:58 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: exit ||
|| 2022:05:02-10:54:07 || message log level: MAX || global log level: STANDARD ||Starting Cron... ||
|| 2022:05:02-10:54:17 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:54:17 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:01:00 -c 00:02:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:54:17 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:01:00 -c 00:02:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:54:24 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:54:24 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:01:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:54:24 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:01:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:54:27 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:54:27 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:05:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:54:27 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:05:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:54:31 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:54:31 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: list ||
|| 2022:05:02-10:54:31 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: list ||
|| 2022:05:02-10:54:35 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:54:35 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: rm 2 ||
|| 2022:05:02-10:54:35 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: rm 2 ||
|| 2022:05:02-10:54:37 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:54:37 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: list ||
|| 2022:05:02-10:54:37 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: list ||
|| 2022:05:02-10:54:43 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:54:43 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: exit ||
|| 2022:05:02-10:59:09 || message log level: MAX || global log level: STANDARD ||Terminating Cron... ||
|| 2022:05:02-10:59:09 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: exit ||
|| 2022:05:02-10:59:23 || message log level: MAX || global log level: STANDARD ||Starting Cron... ||
|| 2022:05:02-10:59:47 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:59:47 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:01:00 -c 00:02:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:59:47 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:01:00 -c 00:02:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:59:50 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:59:50 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:05:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:59:50 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:05:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:59:55 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:59:55 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:01:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:59:55 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:01:00 -c 00:01:00:00:00:0000 /home/sebastian/test_task some dummy ||
|| 2022:05:02-10:59:58 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-10:59:58 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: list ||
|| 2022:05:02-10:59:58 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: list ||
|| 2022:05:02-11:00:04 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-11:00:04 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: rm 2 ||
|| 2022:05:02-11:00:04 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: rm 2 ||
|| 2022:05:02-11:00:08 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:05:02-11:00:08 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: exit ||
|| 2022:05:02-11:00:53 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: exit ||
|| 2022:05:02-11:00:56 || message log level: MAX || global log level: STANDARD ||Terminating Cron... ||
